city,hotel_name,address,rating,review_count,price
Mumbai,Hotel O Blue Ocean Near R City Mall,"kailash industrial complex, near kailash business park, vikhroli west, Mumbai",4.2,119,₹1768
Mumbai,Hotel O Palace Inn Near Don Bosco (Borivali) Metro Station,"Near Mangalmurti Hospital, Gorai Naka, Mumbai",4.4,197,₹2050
Mumbai,Hotel O Lotus Residency Near Anand Nagar Metro Station,"Near Dahisar Toll Plaza, Mira Bhayandar, Mumbai",3.3,393,₹1256
Mumbai,Hotel O Gems,"Near APMC Police Station, Navi Mumbai, Mumbai",3.8,216,₹1244
Mumbai,Hotel O Golden Arch,"Near Vakola Police station, Santa Cruz East, Mumbai",3.9,37,₹1510
Mumbai,Hotel O RK Residency,"Near Ram Krishna Mandir Road, Andheri East, Mumbai",3.6,726,₹1480
Mumbai,Collection O Sector 5 Sanpada Formerly Opal Comforts,"Navi Mumbai, Mumbai",4.4,1018,₹1250
Mumbai,Super Townhouse Oak Vashi,"Vashi, Mumbai",4.8,1665,₹1808
Mumbai,Super Townhouse Oak New Nashik Highway Kalyan Bhiwandi,"Bhiwandi, Mumbai",4.5,89,₹887
Mumbai,Capital O Hotel Konar Inn,"Navi Mumbai, Mumbai",3.9,305,₹1339
Mumbai,Collection O Goregaon Near Film City Formerly Cupid,"Malad East, Mumbai",4.1,1090,₹1204
Mumbai,Hotel Yatri Inn Vashi Navi Mumbai,"Sector 26, Mumbai",3.9,466,₹1071
Mumbai,Super Collection O Ghodbunder Road Formerly Sanwith Residency,"House No 27 Ward No 30 Ghodbunder Road Village Chena, Mumbai",4.5,1149,₹1274
Mumbai,Super Hotel O Yatri Yadgar,"Vashi Navi Mumbai, Mumbai",4.2,282,₹1244
Mumbai,Townhouse Vangani Railway Station Formerly Hotel Chadha,"Ambarnath, Mumbai",4.8,54,₹921
Mumbai,Hotel O Bhumi World,"Thane, Mumbai",4.2,481,₹1257
Mumbai,Super Capital O PARK RESIDENCY,"Mumbai, Mumbai",4,100,₹1329
Mumbai,Super Hotel O Santacruz Railway Junction Formerly Kharsubway,"Santacruz East, Mumbai",4.5,156,₹2020
Mumbai,Super Hotel O Palava Dombivali,"Thane, Mumbai",4.7,1949,₹1050
Mumbai,Hotel O Jagruti Nagar Ghatkopar Formerly Icy Cool,"Ghatkopar West, Mumbai",4.1,59,₹2014
Mumbai,Hotel O Bhiwandi Road Railway Station Formerly Shivneri,"Bhiwandi Wada, Mumbai",4.5,6,₹584
Mumbai,[Day Stay - 12 Hrs Slot: 8 AM to 8 PM] Collection O Vangani Railway Station Hotel Chadha,"Ward No. 5, Mumbai",5,3,₹716
Mumbai,Hotel O Golden Suites,"Navi Mumbai, Mumbai",4.3,249,₹1066
Mumbai,Super Hotel O Gymkhana Dombivli Mumbai,"Dombivili East, Mumbai",4.5,98,₹1231
Mumbai,Hotel O 24/7 Residency,"Navi Mumbai, Mumbai",3.7,53,₹1066
Mumbai,Hotel Orange Residency,"Near Asalpha Metro Station, Asalpha, Mumbai",4.4,186,₹1339
Mumbai,Super Townhouse Andheri Sakinaka Metro Formerly Hotel Amour,"Near Peninsula grand hotel, Mumbai",4.8,201,₹1239
Mumbai,Hotel O Tawakkal Guest house,"BAIL BAZAAR. KURLA WEST, Mumbai",3.5,35,₹1320
Mumbai,Hotel O Ulhasnagar Railway Junction Formerly Garden Inn,"Ulhasnagar, Mumbai",4.5,1,₹1274
Mumbai,Hotel O Grand Villa,"Andheri west. Mumbai, Mumbai",3.7,78,₹1286
Mumbai,Super Collection O Lokhandwala Andheri West Formerly White Star,"Near Jankidevi School Rd, SV Patel Nagar, Mumbai",4.7,1259,₹1998
Mumbai,Hotel O Palace Inn Near Don Bosco (Borivali) Metro Station,"Near Mangalmurti Hospital, Gorai Naka, Mumbai",4.4,197,₹2050
Mumbai,Hotel O My Choice,"Sakinaka. Mumbai- 400072Andheri East, Mumbai",4.1,56,₹1342
Mumbai,Hotel O Class Inn,"Sakinaka. Andheri East. Mumbai- 400072, Mumbai",3.3,42,₹1342
Mumbai,Super Collection O Sakinaka Mumbai Airport T2,"Saki Naka, Mumbai",4.5,428,₹1671
